Date,Etats-Unis,France,Canada
10/2005,16,14,3
11/2005,37,31,30
12/2005,39,5,35
01/2006,1,32,27
02/2006,34,27,34
03/2006,48,41,16
04/2006,45,28,36
05/2006,48,19,3
06/2006,31,27,28
07/2006,42,14,37
08/2006,50,50,1
09/2006,7,31,13
10/2006,12,35,15
11/2006,8,14,29
12/2006,10,28,23
01/2007,7,44,49
02/2007,34,9,19
03/2007,16,22,25
04/2007,38,21,43
05/2007,10,3,15
06/2007,46,10,4
07/2007,40,26,32
08/2007,20,48,35
09/2007,20,12,37
10/2007,27,3,38
11/2007,3,45,37
12/2007,24,5,5
01/2008,5,42,39
02/2008,20,22,4
03/2008,10,4,17
04/2008,18,12,10
05/2008,47,19,24
06/2008,2,6,27
07/2008,44,6,11
08/2008,26,23,27
09/2008,41,16,4
10/2008,44,3,49
11/2008,0,42,48
12/2008,31,42,26
01/2009,43,47,11
02/2009,47,24,7
03/2009,5,8,10
04/2009,41,0,38
05/2009,16,21,37
06/2009,10,26,47
07/2009,49,33,6
08/2009,29,12,12
09/2009,0,19,35
10/2009,5,23,41
11/2009,46,4,38
12/2009,17,42,21
01/2010,20,2,18
02/2010,30,30,2
03/2010,11,21,23
04/2010,14,28,30
05/2010,0,47,20
06/2010,21,1,29
07/2010,12,7,28
08/2010,31,49,36
09/2010,23,49,3
10/2010,10,42,18
11/2010,38,39,9
12/2010,38,1,4
01/2011,14,8,18
02/2011,48,6,42
03/2011,1,12,0
04/2011,8,49,40
05/2011,21,35,28
06/2011,23,48,41
07/2011,22,7,42
08/2011,25,30,45
09/2011,19,39,44
10/2011,9,11,28
11/2011,0,24,31
12/2011,48,0,22
01/2012,41,29,29
02/2012,16,8,26
03/2012,41,27,41
04/2012,39,22,40
05/2012,41,15,49
06/2012,29,3,18
07/2012,12,41,10
08/2012,39,22,50
09/2012,8,20,15
10/2012,17,19,31
11/2012,16,29,19
12/2012,27,18,18
01/2013,49,42,26
02/2013,19,49,22
03/2013,6,2,16
04/2013,49,5,23
05/2013,44,28,35
06/2013,21,7,44
07/2013,32,4,5
08/2013,17,4,15
09/2013,43,12,5
10/2013,36,24,5
11/2013,39,30,4
12/2013,48,14,37
01/2014,48,31,4
02/2014,42,40,31
03/2014,23,16,39
04/2014,15,25,43
05/2014,15,41,19
06/2014,39,43,45
07/2014,46,20,8
08/2014,41,10,46
09/2014,47,41,50
10/2014,17,28,34
11/2014,18,18,16
12/2014,46,40,7
01/2015,19,50,13
02/2015,30,28,10
03/2015,39,1,38
04/2015,13,37,26
05/2015,27,24,6
06/2015,13,20,18
07/2015,11,38,40
08/2015,22,21,11
09/2015,26,27,5
10/2015,4,32,50
11/2015,18,0,50
12/2015,34,22,15
01/2016,48,19,4
02/2016,24,32,17
03/2016,42,35,4
04/2016,17,27,19
05/2016,1,14,17
06/2016,11,10,34
07/2016,14,47,19
08/2016,0,24,49
09/2016,43,36,15
10/2016,15,10,41
11/2016,34,30,46
12/2016,2,46,23
01/2017,28,24,21
02/2017,16,4,30
03/2017,11,14,11
04/2017,45,21,49
05/2017,33,46,7
06/2017,29,24,41
07/2017,26,22,5
08/2017,47,26,40
09/2017,23,2,2
10/2017,17,31,4
11/2017,34,43,43
12/2017,14,30,45
